zHD MU_SH0ES
5.194000000000000006e-02 3.677590000000000003e+01
5.201999999999999680e-02 3.686789999999999878e+01
5.222000000000000253e-02 3.684109999999999729e+01
5.262000000000000011e-02 3.691440000000000055e+01
5.308999999999999830e-02 3.677519999999999811e+01
5.315999999999999892e-02 3.684740000000000038e+01
5.346000000000000058e-02 3.686310000000000286e+01
5.467999999999999944e-02 3.683270000000000266e+01
5.469000000000000250e-02 3.685810000000000031e+01
5.501999999999999946e-02 3.664330000000000354e+01
5.541000000000000092e-02 3.686760000000000304e+01
5.614000000000000240e-02 3.681089999999999662e+01
5.652999999999999692e-02 3.690979999999999706e+01
5.693000000000000144e-02 3.703929999999999723e+01
5.707999999999999879e-02 3.699029999999999774e+01
5.727999999999999758e-02 3.706869999999999976e+01
5.824000000000000010e-02 3.698210000000000264e+01
5.829999999999999766e-02 3.695450000000000301e+01
5.886000000000000260e-02 3.698020000000000351e+01
5.974000000000000143e-02 3.630010000000000048e+01
6.092000000000000193e-02 3.703199999999999648e+01
6.099000000000000254e-02 3.716310000000000002e+01
6.121000000000000052e-02 3.713830000000000098e+01
6.137000000000000094e-02 3.696079999999999899e+01
6.153000000000000136e-02 3.707469999999999999e+01
6.371999999999999886e-02 3.735170000000000101e+01
6.383999999999999397e-02 3.701970000000000027e+01
6.446000000000000341e-02 3.707860000000000156e+01
6.532999999999999918e-02 3.708509999999999707e+01
6.626999999999999558e-02 3.736169999999999902e+01
6.654000000000000192e-02 3.716270000000000095e+01
6.711000000000000298e-02 3.742369999999999663e+01
6.725000000000000422e-02 3.723440000000000083e+01
6.786000000000000365e-02 3.749349999999999739e+01
6.844000000000000083e-02 3.723810000000000286e+01
6.886000000000000454e-02 3.742130000000000223e+01
6.897000000000000353e-02 3.728170000000000073e+01
7.023000000000000076e-02 3.729440000000000310e+01
7.055999999999999772e-02 3.729610000000000269e+01
7.073000000000000120e-02 3.747870000000000346e+01
7.083000000000000407e-02 3.748140000000000072e+01
7.088999999999999468e-02 3.745430000000000348e+01
7.090000000000000469e-02 3.772910000000000252e+01
7.091000000000000081e-02 3.737120000000000175e+01
7.116000000000000103e-02 3.735520000000000351e+01
7.158000000000000473e-02 3.724940000000000140e+01
7.166999999999999760e-02 3.741550000000000153e+01
7.192999999999999394e-02 3.756179999999999808e+01
7.222000000000000641e-02 3.763190000000000168e+01
7.252000000000000113e-02 3.762250000000000227e+01
7.392999999999999572e-02 3.755349999999999966e+01
7.439999999999999392e-02 3.743460000000000321e+01
7.445999999999999841e-02 3.745009999999999906e+01
7.520000000000000295e-02 3.747630000000000194e+01
7.520000000000000295e-02 3.756560000000000343e+01
7.560000000000000053e-02 3.781419999999999959e+01
7.574999999999999789e-02 3.754610000000000269e+01
7.588000000000000300e-02 3.763419999999999987e+01
7.845000000000000584e-02 3.757150000000000034e+01
7.858999999999999320e-02 3.783149999999999835e+01
7.875000000000000056e-02 3.801539999999999964e+01
7.875000000000000056e-02 3.809420000000000073e+01
7.895000000000000628e-02 3.759879999999999711e+01
7.906000000000000527e-02 3.778430000000000177e+01
7.931000000000000549e-02 3.753000000000000114e+01
7.990999999999999492e-02 3.760029999999999717e+01
8.008999999999999453e-02 3.766680000000000206e+01
8.167000000000000648e-02 3.772149999999999892e+01
8.244999999999999551e-02 3.781920000000000215e+01
8.282000000000000473e-02 3.767739999999999867e+01
8.308999999999999719e-02 3.799389999999999645e+01
8.409999999999999420e-02 3.796860000000000213e+01
8.572000000000000453e-02 3.784060000000000201e+01
8.704000000000000625e-02 3.784839999999999804e+01
8.870000000000000107e-02 3.777720000000000056e+01
9.038999999999999813e-02 3.792020000000000124e+01
9.088999999999999857e-02 3.802689999999999770e+01
9.205000000000000682e-02 3.816020000000000323e+01
9.292999999999999872e-02 3.822259999999999991e+01
9.950000000000000511e-02 3.843769999999999953e+01
1.016500000000000042e-01 3.829820000000000135e+01
1.022099999999999953e-01 3.840849999999999653e+01
1.024599999999999955e-01 3.825110000000000099e+01
1.029400000000000037e-01 3.818149999999999977e+01
1.036099999999999938e-01 3.833379999999999654e+01
1.037399999999999989e-01 3.820790000000000219e+01
1.050699999999999967e-01 3.842949999999999733e+01
1.066099999999999964e-01 3.826109999999999900e+01
1.070699999999999985e-01 3.846240000000000236e+01
1.071099999999999969e-01 3.842949999999999733e+01
1.071300000000000030e-01 3.878009999999999735e+01
1.077400000000000024e-01 3.849839999999999662e+01
1.079399999999999943e-01 3.840169999999999817e+01
1.090799999999999964e-01 3.840160000000000196e+01
1.100099999999999967e-01 3.857009999999999650e+01
1.125899999999999956e-01 3.862140000000000128e+01
1.138799999999999951e-01 3.838759999999999906e+01
1.165000000000000063e-01 3.854079999999999728e+01
1.165299999999999947e-01 3.863020000000000209e+01
1.175999999999999962e-01 3.857269999999999754e+01
1.179199999999999970e-01 3.860880000000000223e+01
1.181799999999999934e-01 3.841570000000000107e+01
1.190100000000000047e-01 3.856289999999999907e+01
1.201399999999999968e-01 3.859579999999999700e+01
1.205800000000000066e-01 3.879260000000000019e+01
1.208599999999999952e-01 3.863479999999999848e+01
1.220699999999999980e-01 3.859449999999999648e+01
1.223100000000000021e-01 3.861189999999999856e+01
1.227800000000000002e-01 3.868529999999999802e+01
1.231600000000000056e-01 3.859669999999999845e+01
1.235699999999999993e-01 3.861639999999999873e+01
1.237700000000000050e-01 3.880089999999999861e+01
1.238299999999999956e-01 3.882419999999999760e+01
1.239299999999999985e-01 3.865039999999999765e+01
1.240499999999999936e-01 3.883500000000000085e+01
1.247199999999999975e-01 3.876160000000000139e+01
1.255999999999999894e-01 3.914170000000000016e+01
1.262300000000000089e-01 3.849560000000000315e+01
1.270600000000000063e-01 3.881250000000000000e+01
1.270999999999999908e-01 3.868489999999999895e+01
1.272000000000000075e-01 3.874289999999999878e+01
1.273199999999999887e-01 3.878410000000000224e+01
1.292000000000000093e-01 3.875469999999999970e+01
1.292099999999999915e-01 3.884029999999999916e+01
1.295000000000000040e-01 3.883299999999999841e+01
1.295800000000000007e-01 3.884290000000000020e+01
1.316900000000000015e-01 3.880199999999999960e+01
1.328100000000000114e-01 3.878410000000000224e+01
1.336600000000000010e-01 3.882659999999999911e+01
1.337200000000000055e-01 3.884340000000000259e+01
1.347700000000000009e-01 3.923660000000000281e+01
1.353499999999999981e-01 3.907750000000000057e+01
1.361400000000000110e-01 3.897710000000000008e+01
1.365800000000000070e-01 3.884749999999999659e+01
1.370000000000000107e-01 3.900950000000000273e+01
1.371300000000000019e-01 3.896159999999999712e+01
